CROP_CODE,CROP_STD,UBIGEO,DISTRICT_NAME,CAMPAIGN,SOURCE_MONTHS_PRESENT_N,SOURCE_ROWS_N,CAMPAIGN_PRODUCCION_TM,CAMPAIGN_COSECHA_HA,EXCLUSION_REASON,ZERO_DENOMINATOR_FLAG,NO_SOURCE_ROWS_FLAG,MISSING_NUMERATOR_FLAG,MISSING_DENOMINATOR_FLAG,NOTES
14010020000,ARROZ,200101,PIURA,2018/2019,12,12,0,0,ZERO_DENOMINATOR,TRUE,FALSE,FALSE,FALSE,Source rows and numeric fields are observed; summed COSECHA is zero; row preserved without yield.
14010020000,ARROZ,200104,CASTILLA,2016/2017,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200104,CASTILLA,2017/2018,5,5,0,0,ZERO_DENOMINATOR,TRUE,FALSE,FALSE,FALSE,Source rows and numeric fields are observed; summed COSECHA is zero; row preserved without yield.
14010020000,ARROZ,200104,CASTILLA,2020/2021,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200104,CASTILLA,2021/2022,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200104,CASTILLA,2022/2023,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200204,LAGUNAS,2017/2018,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200209,SICCHEZ,2021/2022,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200209,SICCHEZ,2022/2023,0,0,,,INCOMPLETE_CAMPAIGN_NO_SOURCE_ROWS,FALSE,TRUE,FALSE,FALSE,No source rows exist for the frozen key; aggregates remain missing and the row is preserved.
14010020000,ARROZ,200302,CANCHAQUE,2017/2018,7,7,0,0,ZERO_DENOMINATOR,TRUE,FALSE,FALSE,FALSE,Source rows and numeric fields are observed; summed COSECHA is zero; row preserved without yield.
